Ref,Qty,Value,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Description,Verified
C2 C6,2,"10uF 25V",RLC-1210-SMD,Wickerlib,CAP-CER-10UF-25V-X7R-1210,wickerlib,http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf,1210,Taiyo Yuden,TMK325B7106KN-TR,Digikey,587-2599-1-ND,CAP CER 10UF 25V X7R 1210,Not Verified
C3 C4,2,22pF,RLC-0603-SMD,Wickerlib,CAP-CER-22PF-100V-C0G-NP0-0603,wickerlib,http://www.kemet.com/docfinder?Partnumber=C0603C220F1GACTU,0603,Kemet,C0805C220J5GACTU,Digikey,399-11145-1-ND,CAP CER 22pF 100V C0G NP0 0603,Not Verified
C7 C8 C9 C1 C5,5,100nF,RLC-0603-SMD,Wickerlib,CAP-CER-0.1UF-100V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf,0603,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND,CAP CER 0.1UF 100V X7R 0603,Not Verified
D1,1,14V,DIODE-SMA,Wickerlib,DIODE-TVS-SMAJ14A-13-F-SMA,wickerlib,http://www.ti.com/lit/ds/symlink/tpd3e001.pdf,SMA,TI,SMAJ14A-13-F,Digikey,SMAJ14A-FDICT-ND,TVS DIODE 14VWM 23.2VC SMAJ14A-13-F SMA,Not Verified
D2 D3,2,"20V 1A",DIODE-SMA,Wickerlib,DIODE-SCHOTTKY-20V-1A-SS12-SMA,wickerlib,http://www.vishay.com/docs/88746/ss12.pdf,Vishay,SS12-E3/61T,Digikey,SS12-E3/61TGICT-ND,DIODE SCHOTTKY 20V 1A SMA
F1,1,"1.1A 25V",RLC-1812-SMD,Wickerlib,FUSE-RESET-1.1A-25V-MF-MSMF,wickerlib,http://www.bourns.com/docs/Product-Datasheets/mfmsmf.pdf,1812,Bourns,MF-MSMF110/24X-2,Digikey,MF-MSMF110/24X-2CT-ND,RESETTABLE FUSE 1.1A 25V MF-MSMF,Not Verified
J1,1,INPUT,CONN-ONSHORE-SCREW-GREEN-2PIN-TH,Wickerlib,CONN-TERM-SCREW-GREEN-2.54MM-2POS-TH,wickerlib,http://www.on-shore.com/sites/default/files/manuals/ostvnxxa150.pdf,OSTVN02A150,OnShoreTech,OSTVN02A150,Digikey,ED10561-ND,CONN TERM SCREW GREEN 2.54MM 2POS TH,Not Verified
J2,1,FTDI,CONN-HEADER-STRAIGHT-P2.54MM-1x06,Wickerlib,HEADER-MALE-6POS-TH-1x06-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,Pin_Header_Straight_1x06,Harwin,M20-9992046,Digikey,952-1902-ND,HEADER MALE 6POS TH 1x06 0.1”,Not Verified
J3,1,ISP-2560,CONN-HEADER-STRAIGHT-P2.54MM-2x03,Wickerlib,HEADER-MALE-6POS-TH-2x3-P0.1IN,wickerlib,http://cdn.harwin.com/pdfs/60page147.pdf,UNDEFINED,Harwin,M20-9720345,Digikey,952-1921-ND,HEADER MALE 6POS 2x3 0.1”,Not Verified
J4 J5,2,HEADER-FEMALE-12POS-TH-1x12-P0.1IN,CONN-HEADER-STRAIGHT-P2.54MM-1x12,Wickerlib,HEADER-FEMALE-12POS-TH-1x12-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,CONN-HEADER-STRAIGHT-P2.54MM-1x12,Harwin,M20-7822046,Digikey,952-1905-ND,HEADER FEMALE 12POS TH 1x12 0.1”,Not Verified
JP1,1,JUMP,CONN-HEADER-STRAIGHT-P2.54MM-1x02,Wickerlib,SHUNT-JUMPER-2PIN-P0.1IN,wickerlib,,3M,969102-0000-DA,Digikey,3M9580-ND,SHUNT JUMPER 0.1IN BLACK GOLD
LED1,1,AMBER,RLC-0603-SMD,Wickerlib,LED-AMBER-0603-SMT-L296-Q2R2,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Osram%20PDFs/LSLALOLY_296.pdf,0603,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND,LED AMBER DIFFUSED 0603 SMD,Not Verified
R1,1,10K,RLC-0805-SMD,Wickerlib,RES-10K-5%-1/8W-0805,wickerlib,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,0805,Yageo,RC0805JR-0710KL,Digikey,311-10KARCT-ND,RES SMD 10K OHM 5% 1/8W 0805,Not Verified
R2,1,220,RLC-0603-SMD,Wickerlib,RES-220-5%-1/10W-0603,wickerlib,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf,0603,Yageo,RC0603JR-0722RL,Digikey,311-22GRCT-ND,RES SMD 220 OHM 5% 1/10W 0603,Not Verified
S1,1,RESET,SWITCH-OMRON-MOMENTARY-SMD-B3U-1000P,Wickerlib,SWITCH-TACTILE-SPST-NO-0.05A-12V,wickerlib,http://www.omron.com/ecb/products/pdf/en-b3u.pdf,SW-B3F-10XX,Omron,B3U-1000P,Digikey,SW1020CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,Not Verified
U1,1,NCP1117-5V,DPAK,Wickerlib,IC-REG-LDO-5V-1.1A-NCP1117-5V-DPAK,wickerlib,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF,DPAK,ON Semi,NCP1117DT50G,Digikey, NCP1117DT50GOS-ND,IC REG LDO 5V 1.1A NCP1117 DPAK,Not Verified
U2,1,ATMEGA328,TQFP-32-7x7MM-P0.8MM,Wickerlib,IC-MCU-ATMEGA328-TQFP32-CUSTOM1,wickerlib,http://www.atmel.com/images/Atmel-8271-8-bit-AVR-Microcontroller-ATmega48A-48PA-88A-88PA-168A-168PA-328-328P_datasheet_Complete.pdf,Atmel,ATMEGA328P-AU,Digikey,ATMEGA328P-AU-ND,IC MCU 8BIT 32KB FLASH 32TQFP
X1,1,"16MHz 18pF",CRYSTAL-CTS-4SMD,Wickerlib,CRYSTAL-16MHZ-18PF-40OHM-CTS-4SMD,wickerlib,http://www.ctscorp.com/wp-content/uploads/2015/11/008-0260-0.pdf,CRYSTAL-CTS-4SMD,CTS,406I35D16M00000,Digikey,CTX1206CT-ND,CRYSTAL 16MHz 18pF 40 OHM 4SMD,Not Verified
